# Time: 2021-09-19 15:29:08.122000
# Computer: 686DR2
# Program commandline: ['console_switch_cal.py', '-wl', '1555']
# cwd: C:\Python\de_v3
#
# Laser 
# Chassis gpib 6: 	Device does not support *IDN? command
# Slot 3: 		
# wavelength: 1.555500e+03
# Power: 3.162278e-02
#  MODEL?: AQ8201-13B/03856305/2.20/LSMF
#  LD?: LD03106.441555.50
#  Coherence Control: 1
#  LWLCAL: 0.04
#  LATL: 6.44
# Power meter 1
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 10: 		AQ8201-22/13979817/1.04/
#  power meter: 1
# wavelength: 1.555000e+03
# ATIM: 10.000000
# Range: -10
#  MODEL?: AQ8201-22/13979817/1.04/
#  UNIT?: 1
# Power meter monitor
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 10: 		AQ8201-22/13979817/1.04/
#  power meter: 2
# wavelength: 1.565000e+03
# ATIM: 10.000000
# Range: -10
#  MODEL?: AQ8201-22/13979817/1.04/
#  UNIT?: 0
# Calibrated power meter
# Chassis gpib 20: 	HEWLETT-PACKARD,HP8163A,DE38701177,V5.24(71725)
# Slot 2: 		HEWLETT-PACKARD,HP81533B,3411G06999,05-Feb-99
# Head: 		HEWLETT-PACKARD,HP81521B,2933G05261,06-MAY-96
# wavelength: 1.555000e-06
# ATIM: 1.000000
# Range: -10
# Switch
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 9: 		AQ8201-43,AQ8201-43,AQ8201-13B,AQ8201-11,AQ8201-33,AQ8201-13,AQ8201-33,AQ8201-33,AQ8201-422,AQ8201-22
# route: 1
#  MODEL?: AQ8201-422/13979635/1.03/
# Att 1
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 5: 		AQ8201-33/7D821033/1.03/
# wavelength: 1.555000e+03
# Power: 0
#  MODEL?: AQ8201-33/7D821033/1.03/
#  AD?: AD05011555  0.000
# Att 2
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 7: 		AQ8201-33/03897803/1.03/
# wavelength: 1.555000e+03
# Power: 0
#  MODEL?: AQ8201-33/03897803/1.03/
#  AD?: AD07011555  0.000
# Att 3
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 8: 		AQ8201-33/7D821037/1.03/
# wavelength: 1.555000e+03
# Power: 0
#  MODEL?: AQ8201-33/7D821037/1.03/
#  AD?: AD08011555  0.000
1632087014.65	    1	4.09449175e-05	9.96710000e-05	-1.25969776e-10	  -10
1632087015.65	    1	4.09449175e-05	9.96780000e-05	-1.16173925e-10	  -10
1632087016.65	    1	4.09449175e-05	9.96800000e-05	-6.71944861e-11	  -10
1632087017.65	    1	4.09449175e-05	9.96800000e-05	-6.71944861e-11	  -10
1632087018.65	    1	4.09449175e-05	9.96840000e-05	-1.55357296e-10	  -10
1632087019.65	    1	4.09449175e-05	9.96780000e-05	-1.84744720e-10	  -10
1632087020.65	    1	4.09449175e-05	9.96850000e-05	-1.84744720e-10	  -10
1632087021.65	    1	4.09449175e-05	9.96820000e-05	-2.43519316e-10	  -10
1632087022.65	    1	4.09543465e-05	9.96850000e-05	-2.82133206e-10	  -10
1632087023.65	    1	4.09543465e-05	9.96900000e-05	-2.82133206e-10	  -10
#
1632087032.75	    2	4.09637776e-05	nan	6.24187378e-05	  -10
1632087033.75	    2	4.09543465e-05	nan	6.24196764e-05	  -10
1632087034.75	    2	4.09543465e-05	nan	6.24216627e-05	  -10
1632087035.75	    2	4.09543465e-05	nan	6.24199820e-05	  -10
1632087036.75	    2	4.09449175e-05	nan	6.24223321e-05	  -10
1632087037.75	    2	4.09449175e-05	nan	6.24235836e-05	  -10
1632087038.75	    2	4.09449175e-05	nan	6.24234599e-05	  -10
1632087039.75	    2	4.09354906e-05	nan	6.24231689e-05	  -10
1632087040.75	    2	4.09354906e-05	nan	6.24215972e-05	  -10
1632087041.75	    2	4.09449175e-05	nan	6.24217428e-05	  -10
#
1632087051.06	    1	4.09543465e-05	9.97190000e-05	-3.99682204e-10	  -10
1632087052.06	    1	4.09543465e-05	9.97160000e-05	-3.40907885e-10	  -10
1632087053.06	    1	4.09637776e-05	9.97180000e-05	-3.80090792e-10	  -10
1632087054.06	    1	4.09637776e-05	9.97260000e-05	-4.09477868e-10	  -10
1632087055.06	    1	4.09637776e-05	9.97230000e-05	-4.09477868e-10	  -10
1632087056.06	    1	4.09637776e-05	9.97300000e-05	-4.09477868e-10	  -10
1632087057.06	    1	4.09637776e-05	9.97270000e-05	-4.29069225e-10	  -10
1632087058.06	    1	4.09543465e-05	9.97190000e-05	-4.09477868e-10	  -10
1632087059.06	    1	4.09637776e-05	9.97250000e-05	-4.09477868e-10	  -10
1632087060.06	    1	4.09543465e-05	9.97280000e-05	-3.80090792e-10	  -10
#
1632087069.17	    2	4.09449175e-05	nan	6.24388194e-05	  -10
1632087070.17	    2	4.09449175e-05	nan	6.24394961e-05	  -10
1632087071.17	    2	4.09449175e-05	nan	6.24398235e-05	  -10
1632087072.17	    2	4.09449175e-05	nan	6.24403910e-05	  -10
1632087073.17	    2	4.09449175e-05	nan	6.24412496e-05	  -10
1632087074.17	    2	4.09449175e-05	nan	6.24427266e-05	  -10
