# Time: 2021-09-24 17:42:25.163000
# Computer: 686DR2
# Program commandline: ['console_nonlinear_v3.py', '-wl', '1535']
# cwd: C:\Python\de_v3
#
# Time: 2021-09-24 17:42:38.813000
# Computer: 686DR2
# wait for att: 3
# ['console_nonlinear_v3.py', '-wl', '1535']
#
# Laser 
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 3: 		
# wavelength: 1.535500e+03
# Power: 6.606934e-02
#  MODEL?: AQ8201-13B/03856305/2.20/LSMF
#  LD?: LD03106.121535.50
#  Coherence Control: 1
#  LWLCAL: 0.04
#  LATL: 6.12
#
# Power meter
# monitor power meter on attenuator
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 10: 		AQ8201-22/13979817/1.04/
#  power meter: 2
# wavelength: 1.565000e+03
# ATIM: 10.000000
# Range: -10
#  MODEL?: AQ8201-22/13979817/1.04/
#  UNIT?: 0
#
# Power meter
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 10: 		AQ8201-22/13979817/1.04/
#  power meter: 1
# wavelength: 1.535000e+03
# ATIM: 10.000000
# Range: -10
#  MODEL?: AQ8201-22/13979817/1.04/
#  UNIT?: 1
#
# power meter on output: 1
#
# Switch
# Chassis gpib 6: 	Device does not support *IDN? command
# Slot 9: 		AQ8201-43,AQ8201-43,AQ8201-13B,AQ8201-11,AQ8201-33,AQ8201-13,AQ8201-33,AQ8201-33,AQ8201-422,AQ8201-22
# route: 1
#  MODEL?: AQ8201-422/13979635/1.03/
#
# Att 1
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 7: 		AQ8201-33/03897803/1.03/
# wavelength: 1.535000e+03
# Power: 0
#  MODEL?: AQ8201-33/03897803/1.03/
#  AD?: AD07011535  0.000
#
# Att 2
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 8: 		AQ8201-33/7D821037/1.03/
# wavelength: 1.535000e+03
# Power: 0
#  MODEL?: AQ8201-33/7D821037/1.03/
#  AD?: AD08011535  0.000
#
# Att 3
# Chassis gpib 6: 	ANDO-ELECTRIC,AQ8201A,00966221,HOST03.04.07,SUB03.05.03
# Slot 5: 		AQ8201-33/7D821033/1.03/
# wavelength: 1.535000e+03
# Power: 0
#  MODEL?: AQ8201-33/7D821033/1.03/
#  AD?: AD05011535  0.000
#
#
# time, route, powermonitor, att1, att2, range, pow
1632527006.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.98990000e-05
1632527007.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.99000000e-05
1632527008.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.98960000e-05
1632527009.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.99040000e-05
1632527010.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.98980000e-05
1632527011.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.99000000e-05
1632527012.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.99020000e-05
1632527013.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.98950000e-05
1632527014.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.98980000e-05
1632527015.19	    1	4.20920425e-05	   0.00	   0.00	  -10	9.99000000e-05
1632527021.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00510000e-05
1632527022.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00510000e-05
1632527023.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00560000e-05
1632527024.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00550000e-05
1632527025.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00550000e-05
1632527026.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00560000e-05
1632527027.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00570000e-05
1632527028.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00560000e-05
1632527029.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00530000e-05
1632527030.97	    1	4.20920425e-05	   0.00	   3.00	  -10	5.00530000e-05
#
1632527040.97	    1	4.20920425e-05	   0.22	   0.00	  -10	9.47010000e-05
1632527041.97	    1	4.20920425e-05	   0.22	   0.00	  -10	9.46930000e-05
1632527042.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.46940000e-05
1632527043.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.46960000e-05
1632527044.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.46950000e-05
1632527045.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.47020000e-05
1632527046.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.47000000e-05
1632527047.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.47000000e-05
1632527048.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.46950000e-05
1632527049.97	    1	4.20823515e-05	   0.22	   0.00	  -10	9.47000000e-05
1632527056.77	    1	4.20726628e-05	   0.22	   3.00	  -10	4.74520000e-05
1632527057.77	    1	4.20726628e-05	   0.22	   3.00	  -10	4.74510000e-05
1632527058.77	    1	4.20726628e-05	   0.22	   3.00	  -10	4.74540000e-05
1632527059.77	    1	4.20726628e-05	   0.22	   3.00	  -10	4.74510000e-05
