power_mpm_0,power_mpm_1,power_cpm
8.681604556119942e-05,0.001,0.000102897
8.687603667871443e-05,0.001,0.000102897
8.687603667871443e-05,0.001,0.000102897
8.689604292863019e-05,0.001,0.000102897
8.69160537856856e-05,0.001,0.000102897
8.69160537856856e-05,0.0,0.0001028944
8.693606925094163e-05,0.0,0.0001028944
8.693606925094163e-05,0.001,0.0001028944
8.693606925094163e-05,0.001,0.0001028944
8.693606925094163e-05,0.001,0.0001028921
8.711641598245313e-05,0.001,0.000103036
8.711641598245313e-05,0.001,0.000103036
8.711641598245313e-05,0.001,0.000103036
8.711641598245313e-05,0.0,0.000103036
8.709635899560806e-05,0.001,0.000103036
8.711641598245313e-05,0.001,0.0001030387
8.711641598245313e-05,0.001,0.0001030387
8.709635899560806e-05,0.0,0.0001030387
8.711641598245313e-05,0.001,0.0001030495
8.71364775881218e-05,0.001,0.0001030675
8.804404761646753e-05,0.001,0.0001032063
8.806432284180643e-05,0.0,0.0001032063
8.806432284180643e-05,0.001,0.0001032063
8.806432284180643e-05,0.001,0.0001032063
8.816576902621914e-05,0.001,0.0001032073
8.808460273622597e-05,0.001,0.0001032073
8.818607228217536e-05,0.001,0.0001032073
8.810488730080138e-05,0.001,0.0001032073
8.816576902621914e-05,0.001,0.0001032147
8.812517653660825e-05,0.001,0.0001032147
8.79629933844233e-05,0.001,0.0001030955
8.794274148836827e-05,0.001,0.0001030955
8.792249425494784e-05,0.001,0.0001030955
8.792249425494784e-05,0.001,0.0001030955
8.790225168308842e-05,0.001,0.0001030949
8.790225168308842e-05,0.001,0.0001030949
8.78617805197602e-05,0.001,0.0001030949
8.784155192614562e-05,0.001,0.0001030949
8.782132798980063e-05,0.001,0.0001030955
8.780110870965298e-05,0.001,0.0001030955
8.761934454040549e-05,0.001,0.0001008325
8.761934454040549e-05,0.001,0.0001008325
8.761934454040549e-05,0.001,0.0001018656
8.761934454040549e-05,0.001,0.0001018656
8.759917176331176e-05,0.001,0.0001018656
8.759917176331176e-05,0.001,0.0001018656
8.757900363063682e-05,0.001,0.0001025514
8.757900363063682e-05,0.001,0.0001025514
8.757900363063682e-05,0.001,0.0001025514
8.757900363063682e-05,0.001,0.0001025514
8.873603107786677e-05,0.001,0.0001033917
8.879734893257664e-05,0.001,0.0001033917
8.875646565663145e-05,0.001,0.0001033917
8.881779763192477e-05,0.001,0.0001033917
8.875646565663145e-05,0.001,0.0001033917
8.877690494117356e-05,0.001,0.0001033502
8.879734893257664e-05,0.001,0.0001033502
8.873603107786677e-05,0.001,0.0001033502
8.881779763192477e-05,0.001,0.0001033502
8.877690494117356e-05,0.001,0.0001033496
8.879734893257664e-05,0.001,0.0001036615
8.875646565663145e-05,0.001,0.0001036615
8.879734893257664e-05,0.001,0.0001036615
8.877690494117356e-05,0.001,0.0001036615
8.877690494117356e-05,0.001,0.0001036689
8.877690494117356e-05,0.001,0.0001036689
8.875646565663145e-05,0.0,0.0001036689
8.875646565663145e-05,0.0,0.0001036689
8.871560120379609e-05,0.001,0.000103692
8.871560120379609e-05,0.001,0.000103692
8.840971692004954e-05,0.001,0.0001036997
8.836901211414566e-05,0.001,0.0001036997
8.834866673958569e-05,0.001,0.0001036997
8.834866673958569e-05,0.001,0.0001036997
8.832832604918205e-05,0.001,0.0001036863
8.830799004185631e-05,0.001,0.0001036863
8.828765871653016e-05,0.001,0.0001036863
8.828765871653016e-05,0.001,0.0001036863
8.828765871653016e-05,0.001,0.0001036718
8.824701010756544e-05,0.001,0.0001036718
8.816576902621914e-05,0.001,0.00010357
8.816576902621914e-05,0.001,0.00010357
8.816576902621914e-05,0.001,0.00010357
8.816576902621914e-05,0.001,0.000103561
8.816576902621914e-05,0.001,0.000103561
8.818607228217536e-05,0.0,0.000103561
8.816576902621914e-05,0.001,0.000103561
8.818607228217536e-05,0.001,0.0001035487
8.818607228217536e-05,0.001,0.0001035487
8.818607228217536e-05,0.001,0.0001035487
8.790225168308842e-05,0.001,0.0001034716
8.788201377171688e-05,0.001,0.0001034716
8.784155192614562e-05,0.001,0.0001034716
8.782132798980063e-05,0.001,0.0001034716
8.780110870965298e-05,0.001,0.0001034412
8.780110870965298e-05,0.001,0.0001034412
8.778089408463069e-05,0.001,0.0001034412
8.780110870965298e-05,0.001,0.0001034412
8.778089408463069e-05,0.001,0.0001034412
8.778089408463069e-05,0.001,0.0001034868
