"Wavelength (nm)", "Reflectance"
188.78, -4.631921
189.53, -3.714919
190.28, -3.562176
191.03, -2.700112
191.78, -3.494308
192.53, -3.172392
193.28, -3.306856
194.03, -2.509014
194.79, -2.932696
195.54, -3.06718
196.29, -2.888641
197.04, -2.612473
197.79, -3.081789
198.54, -2.236567
199.29, -2.632548
200.04, -2.929224
200.79, -4.161628
201.54, -3.976316
202.29, -3.279428
203.04, -3.634812
203.79, -2.013372
204.54, -3.619243
205.29, -3.800635
206.03, -2.975971
206.78, -1.716987
207.53, -3.215152
208.28, -2.699769
209.03, -3.30246
209.78, -3.136379
210.53, -3.548564
211.28, -3.539412
212.03, -3.070331
212.78, -2.525698
213.52, -2.016742
214.27, -3.31708
215.02, -3.420543
215.77, -3.228689
216.52, -1.955186
217.27, -2.830105
218.02, -2.448341
218.76, -3.574241
219.51, -2.909773
220.26, -3.340415
221.01, -3.15845
221.76, -3.051442
222.5, -2.999111
223.25, -3.241118
224, -2.672068
224.75, -2.747069
225.49, -2.460181
226.24, -2.588858
226.99, -3.615044
227.73, -0.736083
228.48, -3.300126
229.23, -2.1002
229.98, -2.512108
230.72, -3.285935
231.47, -2.397804
232.22, -2.22521
232.96, -2.377058
233.71, -2.38942
234.46, -2.022882
235.2, -2.060326
235.95, -3.248715
236.69, -2.160539
237.44, -1.947382
238.19, -2.096082
238.93, -1.658551
239.68, -1.645067
240.43, -2.272732
241.17, -1.834842
241.92, -2.152747
242.66, -2.835853
243.41, -2.430562
244.15, -2.043876
244.9, -3.138664
245.64, -1.062329
246.39, -2.331578
247.13, -1.89759
247.88, -1.032477
248.62, -1.560625
249.37, -1.852465
250.11, -2.603187
250.86, -2.040414
251.6, -2.033753
252.35, -0.778757
253.09, -819.300476
253.84, -4.044003
254.58, -2.944711
255.33, 0.074292
256.07, -0.738176
256.82, -0.26659
257.56, -0.582444
258.3, -0.181505
259.05, -0.041599
259.79, 0.081699
260.53, 0.048496
261.28, -0.041112
262.02, -0.123313
262.77, -0.075388
