"Wavelength (nm)", "Reflectance"
424.53, 0.312771
425.26, 0.312612
425.99, 0.311859
426.71, 0.310148
427.44, 0.308559
428.17, 0.306814
428.89, 0.304907
429.62, 0.303045
430.35, 0.301203
431.07, 0.299182
431.8, 0.296972
432.53, 0.294445
433.25, 0.291944
433.98, 0.288905
434.7, 0.285681
435.43, 0.282084
436.16, 0.277899
436.88, 0.273479
437.61, 0.26861
438.33, 0.263036
439.06, 0.257222
439.79, 0.251661
440.51, 0.246026
441.24, 0.240434
441.96, 0.234672
442.69, 0.229209
443.41, 0.223835
444.14, 0.218688
444.86, 0.214057
445.59, 0.209787
446.31, 0.205615
447.04, 0.202023
447.76, 0.199596
448.49, 0.198134
449.21, 0.196847
449.94, 0.195822
450.66, 0.195961
451.39, 0.197306
452.11, 0.199972
452.84, 0.203988
453.56, 0.208874
454.28, 0.213886
455.01, 0.219559
455.73, 0.226694
456.46, 0.234982
457.18, 0.243973
457.9, 0.253502
458.63, 0.263766
459.35, 0.274459
460.08, 0.285842
460.8, 0.298255
461.52, 0.311383
462.25, 0.323463
462.97, 0.335147
463.69, 0.347027
464.42, 0.360086
465.14, 0.37287
465.86, 0.385102
466.58, 0.396715
467.31, 0.408369
468.03, 0.420236
468.75, 0.431721
469.48, 0.442345
470.2, 0.45289
470.92, 0.462774
471.64, 0.472985
472.37, 0.482577
473.09, 0.492009
473.81, 0.50039
474.53, 0.507965
475.25, 0.515262
475.98, 0.522507
476.7, 0.529821
477.42, 0.537103
478.14, 0.54386
478.86, 0.551199
479.59, 0.557866
480.31, 0.564309
481.03, 0.569629
481.75, 0.574776
482.47, 0.579764
483.19, 0.585207
483.91, 0.590017
484.64, 0.594541
485.36, 0.598192
486.08, 0.60263
486.8, 0.606909
487.52, 0.611548
488.24, 0.616252
488.96, 0.620259
489.68, 0.623569
490.4, 0.626353
491.12, 0.629315
491.84, 0.632504
492.56, 0.634934
493.28, 0.637908
494, 0.639882
494.72, 0.641261
495.44, 0.641654
496.16, 0.643149
496.88, 0.644931
497.6, 0.646224
498.32, 0.647216
499.04, 0.649148
499.76, 0.651915
500.48, 0.653851
501.2, 0.655547
501.92, 0.657243
502.64, 0.659378
503.36, 0.660987
504.08, 0.662297
504.8, 0.662955
505.52, 0.663218
506.24, 0.662561
506.96, 0.661627
507.67, 0.659764
508.39, 0.658052
509.11, 0.656381
509.83, 0.656041
510.55, 0.656426
511.27, 0.658087
511.99, 0.660165
512.7, 0.662895
513.42, 0.665945
514.14, 0.668635
514.86, 0.670693
515.58, 0.673117
516.3, 0.674505
517.01, 0.675737
517.73, 0.67503
518.45, 0.674429
519.17, 0.673556
519.88, 0.672895
520.6, 0.672465
521.32, 0.67155
522.04, 0.670966
522.75, 0.670622
523.47, 0.670579
524.19, 0.669848
524.91, 0.668825
525.62, 0.667256
526.34, 0.665447
527.06, 0.662886
527.77, 0.659257
528.49, 0.654607
529.21, 0.648508
529.92, 0.641547
530.64, 0.633927
531.36, 0.626357
532.07, 0.618814
532.79, 0.611316
533.51, 0.603014
534.22, 0.593679
534.94, 0.583649
535.65, 0.572781
536.37, 0.561763
537.09, 0.550707
537.8, 0.539458
538.52, 0.528054
539.23, 0.515837
539.95, 0.503234
540.66, 0.490463
541.38, 0.477407
542.1, 0.464143
542.81, 0.45085
543.53, 0.437832
544.24, 0.425392
544.96, 0.413049
545.67, 0.401169
546.39, 0.389673
547.1, 0.37882
547.82, 0.368823
548.53, 0.359611
549.25, 0.352112
549.96, 0.345649
550.67, 0.340415
551.39, 0.336702
552.1, 0.33445
552.82, 0.334426
553.53, 0.335891
554.25, 0.339219
554.96, 0.344548
555.67, 0.351705
556.39, 0.360652
557.1, 0.370835
557.82, 0.382144
558.53, 0.39474
559.24, 0.408263
559.96, 0.422671
560.67, 0.437583
561.38, 0.452723
562.1, 0.468225
562.81, 0.483838
563.52, 0.499385
564.24, 0.514699
564.95, 0.529596
565.66, 0.544174
566.38, 0.558291
567.09, 0.571824
567.8, 0.584855
568.52, 0.597209
569.23, 0.609171
569.94, 0.62053
570.65, 0.63152
571.37, 0.642291
572.08, 0.653038
572.79, 0.664009
573.5, 0.675152
574.21, 0.68639
574.93, 0.697346
575.64, 0.708283
576.35, 0.719129
577.06, 0.729823
577.77, 0.74041
578.49, 0.750631
579.2, 0.759888
579.91, 0.768569
580.62, 0.776614
581.33, 0.783827
582.04, 0.790718
582.76, 0.79688
583.47, 0.802262
584.18, 0.807182
584.89, 0.81141
585.6, 0.815069
586.31, 0.81821
587.02, 0.82043
587.73, 0.821448
588.44, 0.820815
589.15, 0.817455
589.86, 0.809801
590.58, 0.795957
591.29, 0.773889
592, 0.741848
592.71, 0.70004
593.42, 0.651941
594.13, 0.603076
594.84, 0.561105
595.55, 0.533432
596.26, 0.524145
596.97, 0.533787
597.68, 0.559382
598.39, 0.594901
599.1, 0.634022
599.81, 0.671107
600.52, 0.70235
601.22, 0.726158
601.93, 0.742402
602.64, 0.751466
603.35, 0.754316
604.06, 0.751375
604.77, 0.742572
605.48, 0.728004
606.19, 0.708047
606.9, 0.682715
607.61, 0.653087
608.32, 0.62091
609.02, 0.58839
609.73, 0.558589
610.44, 0.534791
611.15, 0.519682
611.86, 0.514882
612.57, 0.520502
613.27, 0.535718
613.98, 0.558567
614.69, 0.585985
615.4, 0.615717
616.11, 0.645294
616.81, 0.672507
617.52, 0.696388
618.23, 0.716391
618.94, 0.732417
619.65, 0.744715
620.35, 0.753444
621.06, 0.759069
621.77, 0.761946
622.47, 0.761733
623.18, 0.759058
623.89, 0.753787
624.6, 0.745944
625.3, 0.73562
626.01, 0.722762
626.72, 0.707339
627.42, 0.689943
628.13, 0.670496
628.84, 0.649993
629.54, 0.629475
630.25, 0.610096
630.96, 0.593321
631.66, 0.580516
632.37, 0.572409
633.08, 0.570229
633.78, 0.573952
634.49, 0.583173
635.19, 0.597423
635.9, 0.615754
636.61, 0.636186
637.31, 0.65799
638.02, 0.679981
638.72, 0.700947
639.43, 0.720099
640.13, 0.737142
640.84, 0.751847
641.55, 0.764485
642.25, 0.774923
642.96, 0.783336
643.66, 0.790136
644.37, 0.794974
645.07, 0.797731
645.78, 0.798877
646.48, 0.798784
647.19, 0.797258
647.89, 0.794301
648.6, 0.790213
649.3, 0.784437
650, 0.777076
650.71, 0.768349
651.41, 0.758207
652.12, 0.746576
652.82, 0.73425
653.53, 0.720595
654.23, 0.706195
654.93, 0.691297
655.64, 0.676543
656.34, 0.662293
657.05, 0.649449
657.75, 0.63813
658.45, 0.628961
659.16, 0.622635
659.86, 0.619534
660.56, 0.620008
661.27, 0.6239
661.97, 0.631625
662.67, 0.642384
663.38, 0.655424
664.08, 0.669936
664.78, 0.685593
665.49, 0.701487
666.19, 0.716964
666.89, 0.73178
667.59, 0.74558
668.3, 0.758233
669, 0.769501
669.7, 0.779557
670.4, 0.788006
671.11, 0.794834
671.81, 0.800459
672.51, 0.8048
673.21, 0.807818
673.92, 0.809495
674.62, 0.81036
675.32, 0.81025
676.02, 0.809194
676.72, 0.807195
677.42, 0.804468
678.13, 0.800976
678.83, 0.796513
679.53, 0.791155
680.23, 0.784826
680.93, 0.777735
681.63, 0.76971
682.33, 0.760822
683.04, 0.75132
683.74, 0.741406
684.44, 0.730688
685.14, 0.719592
685.84, 0.708632
686.54, 0.697346
687.24, 0.68585
687.94, 0.674703
688.64, 0.66433
689.34, 0.65484
690.04, 0.646828
690.74, 0.640362
691.44, 0.635797
692.14, 0.633548
692.84, 0.633627
693.54, 0.635928
694.24, 0.640569
694.94, 0.647398
695.64, 0.656071
696.34, 0.665964
697.04, 0.676854
697.74, 0.688283
698.44, 0.699956
699.14, 0.711517
699.84, 0.722805
700.54, 0.733798
701.24, 0.744043
701.94, 0.753433
