"Wavelength (nm)", "Reflectance"
423.8, 0.311042
424.53, 0.31023
425.26, 0.308544
425.99, 0.306361
426.71, 0.304637
427.44, 0.303555
428.17, 0.302326
428.89, 0.300599
429.62, 0.298931
430.35, 0.296814
431.07, 0.293448
431.8, 0.289592
432.53, 0.28612
433.25, 0.283297
433.98, 0.280508
434.7, 0.276587
435.43, 0.272322
436.16, 0.268205
436.88, 0.26306
437.61, 0.257181
438.33, 0.252254
439.06, 0.24808
439.79, 0.243441
440.51, 0.237887
441.24, 0.232225
441.96, 0.226718
442.69, 0.221454
443.41, 0.216429
444.14, 0.21219
444.86, 0.208452
445.59, 0.205442
446.31, 0.202653
447.04, 0.20039
447.76, 0.199078
448.49, 0.198685
449.21, 0.19888
449.94, 0.199986
450.66, 0.202176
451.39, 0.205052
452.11, 0.209382
452.84, 0.215031
453.56, 0.220858
454.28, 0.226301
455.01, 0.232885
455.73, 0.241223
456.46, 0.250586
457.18, 0.260608
457.9, 0.271787
458.63, 0.282952
459.35, 0.293715
460.08, 0.304339
460.8, 0.315852
461.52, 0.32744
462.25, 0.339598
462.97, 0.352065
463.69, 0.364586
464.42, 0.376811
465.14, 0.388787
465.86, 0.39997
466.58, 0.410905
467.31, 0.42193
468.03, 0.433255
468.75, 0.443877
469.48, 0.454312
470.2, 0.464072
470.92, 0.473191
471.64, 0.481603
472.37, 0.490093
473.09, 0.498919
473.81, 0.507447
474.53, 0.515072
475.25, 0.522449
475.98, 0.529395
476.7, 0.535691
477.42, 0.541724
478.14, 0.547741
478.86, 0.553756
479.59, 0.559238
480.31, 0.564695
481.03, 0.570247
481.75, 0.575282
482.47, 0.580477
483.19, 0.585443
483.91, 0.589939
484.64, 0.593847
485.36, 0.597559
486.08, 0.601561
486.8, 0.605543
487.52, 0.6086
488.24, 0.612058
488.96, 0.615354
489.68, 0.619411
490.4, 0.622638
491.12, 0.625287
491.84, 0.627374
492.56, 0.629356
493.28, 0.631273
494, 0.633179
494.72, 0.63499
495.44, 0.636515
496.16, 0.637835
496.88, 0.63924
497.6, 0.640956
498.32, 0.642547
499.04, 0.644228
499.76, 0.646087
500.48, 0.648306
501.2, 0.650245
501.92, 0.651948
502.64, 0.653515
503.36, 0.654532
504.08, 0.654541
504.8, 0.654106
505.52, 0.652718
506.24, 0.651984
506.96, 0.650674
507.67, 0.649573
508.39, 0.648626
509.11, 0.648639
509.83, 0.649913
510.55, 0.651526
511.27, 0.653206
511.99, 0.65554
512.7, 0.658398
513.42, 0.660913
514.14, 0.662828
514.86, 0.663573
515.58, 0.664089
516.3, 0.664054
517.01, 0.664001
517.73, 0.663491
518.45, 0.66296
519.17, 0.662103
519.88, 0.661911
520.6, 0.66139
521.32, 0.661161
522.04, 0.66028
522.75, 0.659342
523.47, 0.65814
524.19, 0.656448
524.91, 0.654248
525.62, 0.650705
526.34, 0.646504
527.06, 0.64173
527.77, 0.636248
528.49, 0.629963
529.21, 0.622591
529.92, 0.61484
530.64, 0.606703
531.36, 0.598034
532.07, 0.589078
532.79, 0.579528
533.51, 0.569345
534.22, 0.55827
534.94, 0.546691
535.65, 0.535062
536.37, 0.523345
537.09, 0.511643
537.8, 0.499813
538.52, 0.487767
539.23, 0.475252
539.95, 0.462289
540.66, 0.449153
541.38, 0.436208
542.1, 0.423389
542.81, 0.410533
543.53, 0.398193
544.24, 0.386281
544.96, 0.3751
545.67, 0.364639
546.39, 0.355188
547.1, 0.346746
547.82, 0.339471
548.53, 0.333438
549.25, 0.328635
549.96, 0.325477
550.67, 0.323928
551.39, 0.324544
552.1, 0.327001
552.82, 0.331624
553.53, 0.337583
554.25, 0.345556
554.96, 0.355083
555.67, 0.36595
556.39, 0.378016
557.1, 0.391092
557.82, 0.405324
558.53, 0.420393
559.24, 0.43574
559.96, 0.451558
560.67, 0.467646
561.38, 0.484162
562.1, 0.500581
562.81, 0.516449
563.52, 0.531716
564.24, 0.546659
564.95, 0.561338
565.66, 0.575414
566.38, 0.589049
567.09, 0.601843
567.8, 0.613954
568.52, 0.625504
569.23, 0.636479
569.94, 0.646955
570.65, 0.657267
571.37, 0.667125
572.08, 0.676893
572.79, 0.686521
573.5, 0.696348
574.21, 0.706502
574.93, 0.716727
575.64, 0.727189
576.35, 0.737072
577.06, 0.746504
577.77, 0.755704
578.49, 0.764203
579.2, 0.772301
579.91, 0.779908
580.62, 0.786658
581.33, 0.792892
582.04, 0.798826
582.76, 0.8041
583.47, 0.808447
584.18, 0.811746
584.89, 0.81382
585.6, 0.81457
586.31, 0.813755
587.02, 0.810329
587.73, 0.80247
588.44, 0.788235
589.15, 0.765684
589.86, 0.733438
590.58, 0.691991
591.29, 0.644625
592, 0.597069
592.71, 0.556263
593.42, 0.529537
594.13, 0.521011
594.84, 0.531076
595.55, 0.556963
596.26, 0.592593
596.97, 0.631248
597.68, 0.667658
598.39, 0.698068
599.1, 0.721142
599.81, 0.736833
600.52, 0.745522
601.22, 0.747644
601.93, 0.743445
602.64, 0.733388
603.35, 0.717785
604.06, 0.6968
604.77, 0.671204
605.48, 0.641738
606.19, 0.60993
606.9, 0.57834
607.61, 0.550045
608.32, 0.527896
609.02, 0.514871
609.73, 0.512252
610.44, 0.520171
611.15, 0.53744
611.86, 0.561683
612.57, 0.589826
613.27, 0.619339
613.98, 0.647905
614.69, 0.674196
615.4, 0.697104
616.11, 0.71597
616.81, 0.730754
617.52, 0.741619
618.23, 0.748764
618.94, 0.75295
619.65, 0.754241
620.35, 0.753071
621.06, 0.749321
621.77, 0.743202
622.47, 0.734507
623.18, 0.723573
623.89, 0.709663
624.6, 0.693415
625.3, 0.674867
626.01, 0.654936
626.72, 0.634452
627.42, 0.614974
628.13, 0.597228
628.84, 0.582606
629.54, 0.572313
630.25, 0.567206
630.96, 0.567856
631.66, 0.573927
632.37, 0.585411
633.08, 0.601357
633.78, 0.620624
634.49, 0.641511
635.19, 0.663372
635.9, 0.684717
636.61, 0.704752
637.31, 0.722905
638.02, 0.739334
638.72, 0.753646
639.43, 0.765441
640.13, 0.774658
640.84, 0.782062
641.55, 0.787537
642.25, 0.791153
642.96, 0.793562
643.66, 0.794633
644.37, 0.793928
645.07, 0.791592
645.78, 0.787549
646.48, 0.782272
647.19, 0.775611
647.89, 0.767509
648.6, 0.758102
649.3, 0.74751
650, 0.735464
650.71, 0.722441
651.41, 0.708219
652.12, 0.693455
652.82, 0.67848
653.53, 0.663677
654.23, 0.649877
654.93, 0.637984
655.64, 0.628322
656.34, 0.621708
657.05, 0.618147
657.75, 0.617742
658.45, 0.620526
659.16, 0.62658
659.86, 0.635545
660.56, 0.647027
661.27, 0.660501
661.97, 0.675435
662.67, 0.691168
663.38, 0.706726
664.08, 0.722216
664.78, 0.736696
665.49, 0.750091
666.19, 0.761857
666.89, 0.772539
667.59, 0.781516
668.3, 0.789204
669, 0.795225
669.7, 0.800294
670.4, 0.803733
671.11, 0.806165
671.81, 0.807328
672.51, 0.807483
673.21, 0.80664
673.92, 0.804693
674.62, 0.801936
675.32, 0.798062
676.02, 0.79352
676.72, 0.787795
677.42, 0.781509
678.13, 0.774155
678.83, 0.766015
679.53, 0.757318
680.23, 0.74815
680.93, 0.73804
681.63, 0.727326
682.33, 0.716324
683.04, 0.704931
683.74, 0.692941
684.44, 0.681008
685.14, 0.669794
685.84, 0.659383
686.54, 0.650099
687.24, 0.642321
687.94, 0.636529
688.64, 0.632813
689.34, 0.631209
690.04, 0.631766
690.74, 0.634427
691.44, 0.639009
692.14, 0.645594
692.84, 0.653751
693.54, 0.663201
694.24, 0.673502
694.94, 0.684623
695.64, 0.696078
696.34, 0.70747
697.04, 0.718629
697.74, 0.729336
698.44, 0.739364
699.14, 0.748576
699.84, 0.756915
700.54, 0.764269
701.24, 0.77067
701.94, 0.776122
702.64, 0.780758
703.34, 0.784379
704.04, 0.787169
704.74, 0.789073
705.43, 0.789997
706.13, 0.790123
706.83, 0.789424
707.53, 0.787839
708.23, 0.785432
708.93, 0.782423
709.63, 0.778824
710.32, 0.774368
711.02, 0.769144
711.72, 0.763421
712.42, 0.757237
713.12, 0.750486
713.82, 0.742961
714.51, 0.734764
715.21, 0.726124
715.91, 0.717019
716.61, 0.707342
717.3, 0.697074
718, 0.68654
718.7, 0.675855
719.4, 0.665253
720.09, 0.654924
720.79, 0.644891
721.49, 0.635493
722.19, 0.626823
722.88, 0.618941
723.58, 0.612247
724.28, 0.606569
724.97, 0.602324
725.67, 0.599649
726.37, 0.598433
727.06, 0.599099
727.76, 0.601526
728.46, 0.605305
729.15, 0.610458
729.85, 0.616776
730.55, 0.624038
731.24, 0.631888
731.94, 0.640188
732.63, 0.648766
733.33, 0.65774
734.03, 0.666582
734.72, 0.675065
735.42, 0.683235
736.11, 0.691128
736.81, 0.698385
737.5, 0.705129
738.2, 0.711183
738.9, 0.716707
739.59, 0.721478
740.29, 0.725634
740.98, 0.729076
741.68, 0.731764
742.37, 0.733615
743.07, 0.734886
743.76, 0.735332
744.46, 0.735067
745.15, 0.734308
745.85, 0.732694
746.54, 0.730177
747.23, 0.726768
747.93, 0.722603
748.62, 0.718254
749.32, 0.713153
750.01, 0.707058
750.71, 0.70044
751.4, 0.69339
752.09, 0.685989
752.79, 0.678011
753.48, 0.669426
754.18, 0.66087
754.87, 0.652221
755.56, 0.643459
756.26, 0.634717
756.95, 0.626058
757.64, 0.617628
758.34, 0.60962
759.03, 0.60183
759.72, 0.594672
760.42, 0.588417
761.11, 0.583184
761.8, 0.578964
762.5, 0.575839
763.19, 0.573881
763.88, 0.573512
764.57, 0.574678
765.27, 0.576925
765.96, 0.580391
766.65, 0.585282
767.34, 0.591456
768.04, 0.598953
768.73, 0.607061
769.42, 0.615932
770.11, 0.625795
770.81, 0.636189
771.5, 0.646891
772.19, 0.657804
772.88, 0.668399
773.57, 0.679048
774.26, 0.68906
774.96, 0.698858
775.65, 0.708301
776.34, 0.716799
777.03, 0.724522
777.72, 0.731825
778.41, 0.738542
779.1, 0.745032
779.8, 0.750587
780.49, 0.755438
781.18, 0.759587
781.87, 0.76334
782.56, 0.766403
783.25, 0.768678
783.94, 0.770236
784.63, 0.771154
785.32, 0.771278
786.01, 0.770944
786.7, 0.769842
787.39, 0.768112
788.08, 0.765894
788.77, 0.76308
789.46, 0.759813
790.15, 0.75618
790.84, 0.752132
791.53, 0.747708
792.22, 0.742699
792.91, 0.737374
793.6, 0.731378
794.29, 0.724719
794.98, 0.71765
795.67, 0.709885
796.36, 0.701508
797.05, 0.692529
797.74, 0.682594
798.43, 0.671941
799.12, 0.660982
799.81, 0.649071
800.5, 0.636321
801.19, 0.622859
801.87, 0.608756
802.56, 0.594032
803.25, 0.578775
803.94, 0.562659
804.63, 0.545826
805.32, 0.528436
806.01, 0.510443
806.69, 0.491774
807.38, 0.472532
808.07, 0.452844
808.76, 0.43275
809.45, 0.4123
810.13, 0.391558
810.82, 0.370595
811.51, 0.349568
812.2, 0.328601
812.88, 0.30782
813.57, 0.287466
814.26, 0.267662
814.95, 0.248615
815.63, 0.23049
816.32, 0.213534
817.01, 0.197938
817.7, 0.183836
818.38, 0.171592
819.07, 0.16129
819.76, 0.153077
820.44, 0.147042
821.13, 0.143102
821.82, 0.141323
822.5, 0.141662
823.19, 0.144014
823.88, 0.148196
824.56, 0.154076
825.25, 0.161554
825.94, 0.170448
826.62, 0.180667
827.31, 0.192142
827.99, 0.204757
828.68, 0.218307
829.37, 0.232654
830.05, 0.247595
830.74, 0.26283
831.42, 0.278259
832.11, 0.293632
832.79, 0.308808
833.48, 0.323634
834.17, 0.337821
834.85, 0.351235
835.54, 0.363717
836.22, 0.375291
836.91, 0.38594
837.59, 0.395612
838.28, 0.404415
838.96, 0.412171
839.65, 0.418752
840.33, 0.424506
841.02, 0.429338
841.7, 0.433199
842.38, 0.436145
843.07, 0.438223
843.75, 0.439474
844.44, 0.439837
845.12, 0.439401
845.81, 0.438131
846.49, 0.435839
847.17, 0.432447
847.86, 0.42829
848.54, 0.423381
849.23, 0.417489
849.91, 0.410762
850.59, 0.403234
851.28, 0.394997
851.96, 0.386042
852.64, 0.376737
853.33, 0.367289
854.01, 0.356986
854.69, 0.346195
855.38, 0.335086
856.06, 0.323487
856.74, 0.311551
857.42, 0.299301
858.11, 0.286773
858.79, 0.273726
859.47, 0.260547
860.16, 0.247457
860.84, 0.234197
861.52, 0.22083
862.2, 0.207343
862.89, 0.19397
863.57, 0.180764
864.25, 0.167796
864.93, 0.155282
865.61, 0.142921
866.3, 0.130993
866.98, 0.119418
867.66, 0.108324
868.34, 0.097798
869.02, 0.08781
869.7, 0.078269
870.39, 0.069381
871.07, 0.061012
871.75, 0.053257
872.43, 0.046076
