"Wavelength (nm)", "Reflectance"
188.78, -3.396182
189.53, -3.169925
190.28, -3.627419
191.03, -4.069123
191.78, -3.600441
192.53, -2.952111
193.28, -3.331476
194.03, -3.065191
194.79, -2.548131
195.54, -3.583579
196.29, -2.872802
197.04, -2.719909
197.79, -4.051558
198.54, -2.262441
199.29, -3.80943
200.04, -4.271373
200.79, -3.077542
201.54, -3.797382
202.29, -3.429958
203.04, -3.373905
203.79, -2.946741
204.54, -2.658704
205.29, -4.034477
206.03, -2.674745
206.78, -3.145152
207.53, -2.873257
208.28, -3.304706
209.03, -2.261597
209.78, -2.959833
210.53, -3.248876
211.28, -3.692262
212.03, -3.593265
212.78, -3.295256
213.52, -2.170047
214.27, -2.936542
215.02, -2.999191
215.77, -2.561172
216.52, -2.971559
217.27, -2.327242
218.02, -3.629475
218.76, -2.6199
219.51, -2.325008
220.26, -2.509125
221.01, -2.902223
221.76, -2.877366
222.5, -4.098107
223.25, -2.205074
224, -2.210997
224.75, -2.942163
225.49, -3.760358
226.24, -3.02861
226.99, -1.932599
227.73, -1.947366
228.48, -2.681325
229.23, -2.373784
229.98, -2.986578
230.72, -3.597942
231.47, -2.387798
232.22, -2.654459
232.96, -1.649962
233.71, -2.736006
234.46, -2.447329
235.2, -2.365092
235.95, -2.252474
236.69, -1.912942
237.44, -2.604107
238.19, -2.28071
238.93, -2.158041
239.68, -1.790263
240.43, -1.627464
241.17, -3.407605
241.92, -2.577208
242.66, -2.982038
243.41, -2.617301
244.15, -1.827939
244.9, -1.665663
245.64, -1.617071
246.39, -2.071103
247.13, -1.594751
247.88, -2.416681
248.62, -1.87499
249.37, -1.960261
250.11, -1.546458
250.86, -0.938717
251.6, -1.514274
252.35, -1.180259
253.09, -1016.505371
253.84, -3.738208
254.58, -1.916923
255.33, -0.942104
256.07, -0.616086
256.82, 0.117128
257.56, 0.286084
258.3, -0.148533
259.05, -0.08146
259.79, -0.01593
260.53, 0.157108
261.28, 0.133823
262.02, 0.209532
262.77, 0.078488
263.51, 0.224114
264.25, 0.167689
265, 0.1933
265.74, 0.158064
266.48, 0.149849
267.23, 0.084603
267.97, 0.274987
268.71, 0.16126
269.45, 0.264947
270.2, 0.349038
270.94, 0.300071
271.68, 0.209911
272.43, 0.402124
273.17, 0.317196
273.91, 0.34115
274.65, 0.2741
275.4, 0.405561
276.14, 0.316307
276.88, 0.35966
277.62, 0.351736
278.36, 0.403827
279.11, 0.438734
279.85, 0.321495
280.59, 0.356261
281.33, 0.355544
282.07, 0.295883
282.81, 0.338793
283.56, 0.321016
284.3, 0.331016
285.04, 0.327518
285.78, 0.374322
286.52, 0.384901
287.26, 0.413296
288, 0.420788
288.74, 0.373736
289.48, 0.39198
290.23, 0.380551
290.97, 0.409947
291.71, 0.379893
292.45, 0.369645
293.19, 0.390741
293.93, 0.395587
294.67, 0.404364
295.41, 0.369275
296.15, 0.391071
296.89, 0.407524
297.63, 0.389479
298.37, 0.391581
299.11, 0.409736
299.85, 0.399344
300.59, 0.39952
301.33, 0.395666
302.07, 0.41078
302.81, 0.408912
303.55, 0.400384
304.29, 0.400596
305.02, 0.390748
305.76, 0.407709
306.5, 0.390933
307.24, 0.393709
307.98, 0.40926
308.72, 0.40691
309.46, 0.400257
310.2, 0.406146
310.94, 0.39449
311.68, 0.392005
312.41, 0.396142
313.15, 0.403891
313.89, 0.396267
314.63, 0.393967
315.37, 0.402414
316.11, 0.39895
316.84, 0.394573
317.58, 0.388482
318.32, 0.391118
319.06, 0.391888
319.79, 0.3927
320.53, 0.393346
321.27, 0.395562
322.01, 0.393965
322.74, 0.395312
323.48, 0.390848
324.22, 0.392863
324.96, 0.394627
325.69, 0.393231
326.43, 0.388229
327.17, 0.393602
327.91, 0.397289
328.64, 0.397501
329.38, 0.394535
330.12, 0.391473
330.85, 0.393957
331.59, 0.392117
332.33, 0.392139
333.06, 0.395652
333.8, 0.39121
334.53, 0.39409
335.27, 0.391467
336.01, 0.389292
336.74, 0.392234
337.48, 0.390056
338.21, 0.38812
338.95, 0.390257
339.69, 0.38946
340.42, 0.387677
341.16, 0.387492
341.89, 0.387411
342.63, 0.388612
343.36, 0.390666
344.1, 0.385233
344.83, 0.38348
345.57, 0.38296
346.3, 0.384734
347.04, 0.383151
347.77, 0.379656
348.51, 0.379815
349.24, 0.376374
349.98, 0.376457
350.71, 0.376198
351.45, 0.377454
352.18, 0.376822
352.92, 0.375623
353.65, 0.373487
354.39, 0.372774
355.12, 0.37251
355.85, 0.372248
356.59, 0.375156
357.32, 0.374529
358.06, 0.374201
358.79, 0.37438
359.52, 0.374922
360.26, 0.376563
360.99, 0.375452
361.72, 0.374733
362.46, 0.374651
363.19, 0.373413
363.92, 0.372411
364.66, 0.369289
365.39, 0.37032
366.12, 0.371903
366.86, 0.36803
367.59, 0.363831
368.32, 0.367275
369.06, 0.366083
369.79, 0.362516
370.52, 0.362659
371.25, 0.358728
371.99, 0.357334
372.72, 0.356855
373.45, 0.359523
374.18, 0.357653
374.91, 0.357037
375.65, 0.356899
376.38, 0.357879
377.11, 0.357249
377.84, 0.35521
378.57, 0.353153
379.31, 0.351922
380.04, 0.351388
380.77, 0.351883
381.5, 0.353501
382.23, 0.35123
382.96, 0.349055
383.7, 0.349593
384.43, 0.349607
385.16, 0.348065
385.89, 0.347802
386.62, 0.348484
387.35, 0.347657
388.08, 0.346262
388.81, 0.347714
389.54, 0.348872
390.27, 0.347267
391, 0.346584
391.74, 0.346576
392.47, 0.346765
393.2, 0.346895
