"Wavelength (nm)", "Reflectance"
188.78, -4.120719
189.53, -3.284744
190.28, -3.009573
191.03, -3.043364
191.78, -3.307763
192.53, -3.148936
193.28, -2.139606
194.03, -4.448106
194.79, -3.113794
195.54, -3.207891
196.29, -3.152848
197.04, -3.861807
197.79, -3.306178
198.54, -2.461521
199.29, -2.734757
200.04, -2.168418
200.79, -4.470457
201.54, -3.010017
202.29, -1.86053
203.04, -2.133725
203.79, -2.488889
204.54, -3.065761
205.29, -3.494644
206.03, -3.370401
206.78, -3.676239
207.53, -3.280998
208.28, -1.860609
209.03, -2.751905
209.78, -3.162287
210.53, -3.040242
211.28, -2.538263
212.03, -2.727526
212.78, -3.539485
213.52, -2.989619
214.27, -3.386512
215.02, -2.668962
215.77, -2.641862
216.52, -2.806077
217.27, -2.736904
218.02, -2.930518
218.76, -3.440782
219.51, -3.022886
220.26, -3.5769
221.01, -2.491324
221.76, -2.672027
222.5, -3.646574
223.25, -2.862212
224, -2.70377
224.75, -3.147722
225.49, -2.533012
226.24, -3.315647
226.99, -3.035154
227.73, -3.454654
228.48, -3.129278
229.23, -2.253842
229.98, -2.544316
230.72, -1.749401
231.47, -2.068819
232.22, -3.135533
232.96, -2.80618
233.71, -2.419985
234.46, -2.250909
235.2, -1.34001
235.95, -2.411371
236.69, -1.402672
237.44, -1.622232
238.19, -1.141429
238.93, -1.726079
239.68, -2.106647
240.43, -1.43073
241.17, -2.377671
241.92, -2.259587
242.66, -2.663082
243.41, -1.815075
244.15, -1.50589
244.9, -1.9092
245.64, -1.576768
246.39, -1.907951
247.13, -2.292498
247.88, -2.334445
248.62, 0.108776
249.37, -1.006575
250.11, -2.087019
250.86, -1.856108
251.6, -1.723086
252.35, -1.8089
253.09, -1136.252686
253.84, -3.861793
254.58, -2.702463
255.33, -0.455526
256.07, -0.560754
256.82, -0.229759
257.56, -0.018291
258.3, -0.528262
259.05, -0.096852
259.79, -0.145478
260.53, 0.186543
261.28, 0.145472
262.02, 0.18006
262.77, -0.189067
263.51, 0.13953
264.25, 0.186677
265, 0.170361
265.74, 0.151127
266.48, 0.136398
267.23, -0.067432
267.97, 0.043601
268.71, 0.061795
269.45, 0.133169
270.2, 0.264996
270.94, 0.24231
271.68, 0.302462
272.43, 0.233405
273.17, 0.283841
273.91, 0.344441
274.65, 0.354476
275.4, 0.338191
276.14, 0.318945
276.88, 0.256276
277.62, 0.358987
278.36, 0.339939
279.11, 0.332751
279.85, 0.331834
280.59, 0.342062
281.33, 0.307151
282.07, 0.368028
282.81, 0.40525
283.56, 0.41025
284.3, 0.423856
285.04, 0.374003
285.78, 0.386927
286.52, 0.385856
