1200,0.49143,0.33094
1210,0.48795,0.32783
1220,0.48447,0.32473
1230,0.48102,0.3216
1240,0.47766,0.31842
1250,0.47442,0.31517
1260,0.47122,0.31189
1270,0.46804,0.30862
1280,0.46491,0.30534
1290,0.46174,0.30211
1300,0.45856,0.29891
1310,0.45534,0.29576
1320,0.45211,0.29265
1330,0.4489,0.28958
1340,0.44573,0.28663
1350,0.44263,0.28372
1360,0.43954,0.28084
1370,0.43641,0.27797
1380,0.43328,0.27507
1390,0.43016,0.27214
1400,0.42709,0.26921
1410,0.42407,0.26631
1420,0.4211,0.26344
1430,0.4182,0.26068
1440,0.41543,0.25789
1450,0.41272,0.25517
1460,0.40992,0.25258
1470,0.40708,0.25009
1480,0.40419,0.24765
1490,0.40166,0.24502
1500,0.39929,0.24239
1510,0.39693,0.2398
1520,0.3946,0.23721
1530,0.39217,0.23471
1540,0.38942,0.23243
1550,0.38672,0.23014
1560,0.38405,0.22789
1570,0.38136,0.2256
1580,0.37882,0.22318
1590,0.37656,0.22069
1600,0.37437,0.21836
1610,0.37218,0.21616
1620,0.36997,0.21399
1630,0.36743,0.21153
1640,0.36492,0.20914
1650,0.36246,0.20676
1660,0.35994,0.20443
1670,0.35788,0.20228
1680,0.35595,0.20026
1690,0.35382,0.19838
1700,0.35156,0.19663
1710,0.34933,0.19492
1720,0.34729,0.19268
1730,0.34525,0.19044
1740,0.34326,0.18825
1750,0.34129,0.18606
1760,0.33935,0.18391
1770,0.33737,0.18198
1780,0.33524,0.18019
1790,0.33323,0.17843
1800,0.33127,0.17663
1810,0.32919,0.17477
1820,0.32715,0.17294
1830,0.32533,0.17134
1840,0.32353,0.16976
1850,0.32164,0.16807
1860,0.31959,0.16618
1870,0.31756,0.16429
1880,0.31557,0.16238
1890,0.31365,0.16049
1900,0.31174,0.15864
1910,0.31004,0.15703
1920,0.30822,0.15536
1930,0.30648,0.15385
1940,0.30472,0.15236
1950,0.30298,0.15089
1960,0.30128,0.14947
1970,0.29962,0.14803
1980,0.29806,0.14667
1990,0.29657,0.14532
2000,0.29509,0.14397
